DOI,dataset_name,file_id,file_label,file_description,file_path,file_size,file_type,original_description,new_description,new_file_path,status
doi:10.5061/dryad.example1,Climate Data 2024 - North America,file_001,temperature_data.csv,Monthly average temperature data for North American cities,raw_data,2048576,Text,Monthly average temperature data for North American cities,,,pending
doi:10.5061/dryad.example1,Climate Data 2024 - North America,file_002,precipitation_analysis.xlsx,Precipitation patterns and statistical analysis,processed_data,5242880,Spreadsheet,Precipitation patterns and statistical analysis,,,pending
doi:10.5061/dryad.example1,Climate Data 2024 - North America,file_003,methodology.pdf,Detailed methodology for data collection and processing,documentation,1048576,Document,Detailed methodology for data collection and processing,,,pending
doi:10.5061/dryad.example2,Genomic Sequencing Dataset - Species A,file_004,sequence_reads_R1.fastq.gz,Forward reads from Illumina sequencing,raw_sequences,10737418240,Sequence,Forward reads from Illumina sequencing,,,pending
doi:10.5061/dryad.example2,Genomic Sequencing Dataset - Species A,file_005,sequence_reads_R2.fastq.gz,Reverse reads from Illumina sequencing,raw_sequences,10737418240,Sequence,Reverse reads from Illumina sequencing,,,pending
doi:10.5061/dryad.example2,Genomic Sequencing Dataset - Species A,file_006,assembly_summary.txt,Summary of genome assembly statistics,results,524288,Text,Summary of genome assembly statistics,,,pending
doi:10.5061/dryad.example2,Genomic Sequencing Dataset - Species A,file_007,quality_report.html,Quality assessment and visualization report,results,2097152,Document,Quality assessment and visualization report,,,pending
doi:10.5061/dryad.example3,Survey Results - Consumer Preferences 2024,file_008,survey_responses.csv,Raw survey responses from 5000 participants,raw_data,3145728,Text,Raw survey responses from 5000 participants,,,pending
doi:10.5061/dryad.example3,Survey Results - Consumer Preferences 2024,file_009,demographics.xlsx,Demographic breakdown of survey participants,processed_data,786432,Spreadsheet,Demographic breakdown of survey participants,,,pending
doi:10.5061/dryad.example3,Survey Results - Consumer Preferences 2024,file_010,statistical_analysis.R,R script for statistical analysis and visualization,scripts,262144,Text,R script for statistical analysis and visualization,,,pending
doi:10.5061/dryad.example3,Survey Results - Consumer Preferences 2024,file_011,key_findings_report.pdf,Executive summary of key findings,reports,1572864,Document,Executive summary of key findings,,,pending
